logo,program title,area of study,credit for prior learning,program desc,accreditation,career outlook,admission requirements,dates and deadlines,tuition and fees,program level,total hours,projected cost,university
https://images.unsplash.com/photo-1534988333262-c455b9332e52?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjYzNzUwfQ,Associate Degree in Law,Medicine,TRUE,Alias expedita incidunt. Dolorem sint similique. Et cumque rerum.,DASH,Sed magnam dolor. Mollitia dolor sint. Quidem dicta aut.,Quod delectus natus. Nihil dolor nobis. Aspernatur sed voluptatem.,Application Deadline: 2019-04-05 | 25 Days Until Classes Begin!,Projected Per Credit Hour Cost: $330,Professional degree,20,"$19,905 ",University of North Georgia
https://images.unsplash.com/photo-1534988333262-c455b9332e52?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjYzNzUwfQ,Master of Biological Science,Communications,TRUE,Et qui nulla. Illo error quasi. Illum quis praesentium.,XRP,Qui ipsa id. Et doloremque est. Maiores sint debitis.,Vero et est. Dolorem vel excepturi. Quisquam reiciendis et.,Application Deadline: 2019-03-31 | 37 Days Until Classes Begin!,Projected Per Credit Hour Cost: $5,Doctorate degree,10,"$9,046 ",University of West Georgia
https://images.unsplash.com/photo-1534988333262-c455b9332e52?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjYzNzUwfQ,Bachelor of Creative Arts,Biological Science,FALSE,Recusandae voluptatibus nihil. Tempora recusandae quis. Et ratione voluptatem.,DASH,Qui odit molestiae. Ea nulla praesentium. Quam qui eum.,Laborum aliquid ipsam. Dolores dolor deserunt. Cupiditate assumenda quibusdam.,Application Deadline: 2019-04-01 | 39 Days Until Classes Begin!,Projected Per Credit Hour Cost: $42,Professional degree,71,"$4,367 ",Georgia Highlands College
https://images.unsplash.com/photo-1532264523420-881a47db012d?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjYzNzUwfQ,Master of Communications,Engineering,FALSE,Impedit voluptatibus culpa. Occaecati ea eligendi. Exercitationem accusamus illum.,DASH,Rerum ut illo. Ipsam nisi ut. Saepe adipisci consequatur.,Deserunt est voluptatem. Dolorem nisi dignissimos. Et eum vel.,Application Deadline: 2019-04-06 | 25 Days Until Classes Begin!,Projected Per Credit Hour Cost: $118,GED or alternative credential,76,"$3,095 ",Dalton State College
https://images.unsplash.com/photo-1551845272-bb4267c0c32b?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjYzNzUwfQ,Master of Law,Arts,TRUE,Alias odit ducimus. Aspernatur ut quia. Nisi et temporibus.,LTC,Cum et veritatis. Unde ut accusamus. Vitae non natus.,Eum pariatur recusandae. Dolor consequatur aut. Et ipsum quisquam.,Application Deadline: 2019-04-02 | 35 Days Until Classes Begin!,Projected Per Credit Hour Cost: $210,GED or alternative credential,47,"$3,318 ",Abraham Baldwin Agricultural College
https://images.unsplash.com/photo-1534988333262-c455b9332e52?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjYzNzUwfQ,Master of Teaching,Architectural Technology,FALSE,Nobis ad qui. Temporibus nihil voluptatem. At quo est.,BTC,Et nostrum laudantium. Nesciunt atque cupiditate. Voluptas id cupiditate.,Velit tempore laboriosam. Aspernatur qui animi. Adipisci laboriosam doloremque.,Application Deadline: 2019-04-06 | 21 Days Until Classes Begin!,Projected Per Credit Hour Cost: $351,Master's degree,66,"$15,976 ",Georgia Southern University
https://images.unsplash.com/photo-1532264523420-881a47db012d?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjYzNzUwfQ,Bachelor of Forensic Science,Nursing,TRUE,Corrupti minus tenetur. Repellendus aut nam. Necessitatibus mollitia aspernatur.,LTC,Nostrum laboriosam laborum. Voluptatem beatae blanditiis. Quia et accusantium.,Harum quasi rerum. In corrupti minus. Enim eos sint.,Application Deadline: 2019-04-08 | 16 Days Until Classes Begin!,Projected Per Credit Hour Cost: $265,12th grade - No Diploma,47,"$18,553 ",Savannah State University
https://images.unsplash.com/photo-1552439173-def98a8cb0c4?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjYzNzUwfQ,Bachelor of Information Systems,Biological Science,FALSE,Nobis error necessitatibus. Modi omnis odio. Ducimus earum aspernatur.,BTC,Neque qui eos. Aut deleniti vel. Molestiae veniam culpa.,Vel illum odio. Maiores voluptas soluta. Adipisci rerum repellat.,Application Deadline: 2019-04-12 | 2 Days Until Classes Begin!,Projected Per Credit Hour Cost: $330,Kindergarten,139,"$10,380 ",College of Coastal Georgia
https://images.unsplash.com/photo-1496469888073-80de7e952517?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjYzNzUwfQ,Master of Information Systems,Information Systems,FALSE,Alias ea voluptatem. Odio natus a. Aut delectus est.,LTC,Delectus ratione necessitatibus. Est modi nemo. Et molestiae enim.,Eveniet rerum molestiae. Ut sint et. Velit eius accusantium.,Application Deadline: 2019-04-02 | 35 Days Until Classes Begin!,Projected Per Credit Hour Cost: $192,Some college,3,"$14,339 ",Godron State College
https://images.unsplash.com/photo-1552439173-def98a8cb0c4?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjYzNzUwfQ,Bachelor of Communications,Forensic Science,TRUE,Corporis numquam tempora. Libero in dolor. Et sint dolor.,XRP,Repellat iusto velit. Asperiores ducimus iste. Necessitatibus sequi molestias.,Aspernatur voluptatem vitae. Quidem nulla porro. Quo cumque sapiente.,Application Deadline: 2019-03-29 | 31 Days Until Classes Begin!,Projected Per Credit Hour Cost: $93,Bachelor's degree,132,"$1,250 ",Dalton State College
https://images.unsplash.com/photo-1552439173-def98a8cb0c4?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjYzNzUwfQ,Bachelor of Psychology,Medicine,FALSE,Doloribus id dolores. Vero recusandae assumenda. Quisquam hic minus.,BTC,Molestiae provident deserunt. Aut fugit id. Sapiente dolorem corporis.,Eveniet ullam in. Quaerat amet quos. Voluptatibus eveniet quod.,Application Deadline: 2019-04-07 | 2 Days Until Classes Begin!,Projected Per Credit Hour Cost: $278,Regular high school diploma,106,"$15,974 ",Georgia State University
https://images.unsplash.com/photo-1522316166834-b429f6b7004d?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjYzNzUwfQ,Bachelor of Nursing,Business,FALSE,Et velit et. Molestias non blanditiis. Sapiente a sint.,ETH,Unde maxime iusto. Sunt corrupti ad. Voluptas in officia.,Atque cumque quae. Quasi incidunt eaque. Eum quia voluptate.,Application Deadline: 2019-04-07 | 19 Days Until Classes Begin!,Projected Per Credit Hour Cost: $378,GED or alternative credential,128,$518 ,Godron State College
https://images.unsplash.com/photo-1534988333262-c455b9332e52?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjYzNzUwfQ,Master of Creative Arts,Nursing,FALSE,Recusandae incidunt nobis. Quia ad nihil. Asperiores dolorem velit.,ETH,Velit voluptatem fugit. Nemo nihil in. Quae vitae repellat.,Harum qui consectetur. Vel qui ipsa. In magnam quas.,Application Deadline: 2019-03-30 | 27 Days Until Classes Begin!,Projected Per Credit Hour Cost: $360,Regular high school diploma,69,"$16,454 ",Abraham Baldwin Agricultural College
https://images.unsplash.com/photo-1532043772213-09a6cec77cfa?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjYzNzUwfQ,Bachelor of Arts,Creative Arts,FALSE,Ut eos omnis. Rerum adipisci expedita. Est explicabo saepe.,BTC,Accusamus fugiat deleniti. Harum nihil adipisci. Quasi voluptatem tempora.,Odit minus accusamus. Consequatur eligendi magnam. Sunt et voluptatem.,Application Deadline: 2019-04-10 | 25 Days Until Classes Begin!,Projected Per Credit Hour Cost: $340,Professional degree,64,"$15,381 ",Albany State University
https://images.unsplash.com/photo-1522316166834-b429f6b7004d?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjYzNzUwfQ,Master of Engineering,Communications,FALSE,Itaque consequatur dolorem. Eum excepturi amet. Nesciunt in amet.,DASH,Aut inventore iste. Iusto voluptatibus ipsam. Et vel aut.,Debitis voluptas omnis. Ut praesentium magnam. Recusandae blanditiis delectus.,Application Deadline: 2019-04-05 | 32 Days Until Classes Begin!,Projected Per Credit Hour Cost: $3,Associate's degree,70,"$3,728 ",University of West Georgia
https://images.unsplash.com/photo-1551845272-bb4267c0c32b?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjYzNzUwfQ,Bachelor of Architectural Technology,Education,FALSE,Reiciendis iste quia. Debitis reprehenderit id. Itaque animi accusamus.,LTC,Aut atque in. Quis rem non. Rerum consequatur eveniet.,Sequi aut dolorem. Ut nostrum commodi. Placeat occaecati aspernatur.,Application Deadline: 2019-04-03 | 23 Days Until Classes Begin!,Projected Per Credit Hour Cost: $171,12th grade - No Diploma,38,"$1,279 ",Dalton State College
https://images.unsplash.com/photo-1552439173-def98a8cb0c4?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjYzNzUwfQ,Bachelor of Biomedical Science,Medicine,FALSE,Est repellendus et. Quia ipsa aut. Iure placeat aut.,LTC,Corrupti consectetur et. Dolor neque modi. Ipsum voluptatem sunt.,Et rem autem. Unde soluta explicabo. Voluptates corporis doloremque.,Application Deadline: 2019-03-29 | 29 Days Until Classes Begin!,Projected Per Credit Hour Cost: $201,Some college,73,"$13,447 ",Abraham Baldwin Agricultural College
https://images.unsplash.com/photo-1525017467541-995c08c663cc?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjYzNzUwfQ,Master of Nursing,Psychology,TRUE,Culpa vel omnis. Neque sint nostrum. Sequi similique dignissimos.,ETH,Autem in voluptatibus. Perferendis enim repudiandae. Cumque tenetur fugit.,Sint in doloribus. Ducimus dolore deserunt. In error odio.,Application Deadline: 2019-04-06 | 24 Days Until Classes Begin!,Projected Per Credit Hour Cost: $126,Bachelor's degree,105,"$11,605 ",Georgia Gwinnett College
https://images.unsplash.com/photo-1525017467541-995c08c663cc?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjYzNzUwfQ,Associate Degree in Communications,Arts,FALSE,Quia ut deleniti. Eos optio dolorem. Consectetur quod assumenda.,BTC,Velit non ex. Voluptatibus non esse. Molestiae soluta minus.,Aspernatur amet voluptates. Beatae in omnis. Ad perspiciatis praesentium.,Application Deadline: 2019-04-01 | 22 Days Until Classes Begin!,Projected Per Credit Hour Cost: $183,Some college,30,"$16,741 ",College of Coastal Georgia
https://images.unsplash.com/photo-1522316166834-b429f6b7004d?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjYzNzUwfQ,Associate Degree in Biological Science,Applied Science (Psychology),TRUE,Illum praesentium voluptates. Dolor et incidunt. Molestias nobis voluptatum.,XRP,Non et molestiae. Eum sit et. Quia iusto laboriosam.,Commodi ut corporis. Eum deserunt ut. Eos alias id.,Application Deadline: 2019-03-29 | 29 Days Until Classes Begin!,Projected Per Credit Hour Cost: $262,Nursery school,127,"$10,503 ",University of North Georgia
https://images.unsplash.com/photo-1522316166834-b429f6b7004d?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjYzNzUwfQ,Associate Degree in Arts,Education,TRUE,A officia inventore. A ullam doloribus. Quos non ullam.,XRP,Minima consequatur quo. Ut voluptatem ea. Vitae rerum quisquam.,Omnis quis unde. Sapiente et ut. Et autem et.,Application Deadline: 2019-04-08 | 23 Days Until Classes Begin!,Projected Per Credit Hour Cost: $54,Master's degree,76,"$7,386 ",Kennesaw State University
https://images.unsplash.com/photo-1551845272-bb4267c0c32b?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjYzNzUwfQ,Bachelor of Computer Science,Forensic Science,TRUE,Quos architecto quia. Id totam veritatis. Non a facere.,XRP,Quaerat odit id. Minima hic in. Et ut officia.,Maxime cupiditate cumque. Dicta eius nihil. Aut dolorem quos.,Application Deadline: 2019-03-30 | 29 Days Until Classes Begin!,Projected Per Credit Hour Cost: $63,Kindergarten,109,"$17,345 ",Valdosta State University
https://images.unsplash.com/photo-1495995424756-6a5a3f9e7543?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjYzNzUwfQ,Master of Engineering,Applied Science (Psychology),FALSE,At atque reiciendis. Fugit nihil incidunt. Totam dolorem et.,XRP,Sed praesentium deserunt. Id aspernatur excepturi. Omnis nihil omnis.,Fuga debitis nesciunt. Recusandae et debitis. Laboriosam nesciunt accusamus.,Application Deadline: 2019-04-05 | 21 Days Until Classes Begin!,Projected Per Credit Hour Cost: $25,No schooling completed,61,"$4,888 ",Savannah State University
https://images.unsplash.com/photo-1496469888073-80de7e952517?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjYzNzUwfQ,Bachelor of Arts,Teaching,TRUE,Animi voluptatem maiores. Deleniti saepe itaque. Eius accusamus ea.,LTC,Omnis voluptatem sapiente. Qui aut et. Esse molestias aspernatur.,Quia perferendis doloribus. Voluptatem autem quidem. Accusantium nihil illo.,Application Deadline: 2019-03-29 | 27 Days Until Classes Begin!,Projected Per Credit Hour Cost: $306,Bachelor's degree,89,"$15,811 ",Kennesaw State University
https://images.unsplash.com/photo-1532264523420-881a47db012d?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjYzNzUwfQ,Bachelor of Creative Arts,Health Science,TRUE,Blanditiis odit rem. Ipsa est error. Et et nostrum.,DASH,Rerum libero non. Aperiam aut vel. Eum dolorum vel.,Est rerum nulla. Totam consectetur cupiditate. Sed amet quibusdam.,Application Deadline: 2019-04-13 | 9 Days Until Classes Begin!,Projected Per Credit Hour Cost: $217,Regular high school diploma,27,"$5,268 ",Georgia Southwestern State University
https://images.unsplash.com/photo-1532264523420-881a47db012d?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjYzNzUwfQ,Bachelor of Medicine,Nursing,FALSE,Voluptas debitis eveniet. Quam non qui. Non debitis possimus.,ETH,Quidem quia voluptas. Rerum et qui. Explicabo id aliquid.,Libero placeat occaecati. Illum rerum harum. Harum eum aut.,Application Deadline: 2019-03-29 | 9 Days Until Classes Begin!,Projected Per Credit Hour Cost: $128,No schooling completed,128,"$12,272 ",Georgia State University
https://images.unsplash.com/photo-1532264523420-881a47db012d?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjYzNzUwfQ,Associate Degree in Health Science,Applied Science (Psychology),TRUE,Quidem consequatur ut. Quis sint voluptatum. Sapiente ut et.,LTC,Quia ducimus rerum. Odio laboriosam ut. Quibusdam eos repellendus.,Minus sed eius. Adipisci repellendus nobis. Possimus facere ea.,Application Deadline: 2019-04-04 | 8 Days Until Classes Begin!,Projected Per Credit Hour Cost: $68,Kindergarten,35,"$15,472 ",College of Coastal Georgia
https://images.unsplash.com/photo-1551845272-bb4267c0c32b?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjYzNzUwfQ,Bachelor of Forensic Science,Applied Science (Psychology),TRUE,Qui non ea. Itaque quos optio. Et ea nemo.,ETH,Nisi enim odit. Aut dignissimos inventore. Nobis non culpa.,Quas blanditiis quod. Ducimus aut quis. Libero sed corporis.,Application Deadline: 2019-04-03 | 10 Days Until Classes Begin!,Projected Per Credit Hour Cost: $365,Some college,90,$70 ,Georgia College and State University
https://images.unsplash.com/photo-1522316166834-b429f6b7004d?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjYzNzUwfQ,Associate Degree in Biological Science,Health Science,FALSE,Cupiditate sequi nesciunt. Reiciendis sunt voluptas. Aperiam aut omnis.,ETH,Consectetur ratione consequatur. Consequatur doloremque saepe. Doloremque et non.,Voluptates quibusdam saepe. Et commodi molestiae. Natus et beatae.,Application Deadline: 2019-03-29 | 4 Days Until Classes Begin!,Projected Per Credit Hour Cost: $382,No schooling completed,50,"$5,306 ",Kennesaw State University
https://images.unsplash.com/photo-1532043772213-09a6cec77cfa?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjYzNzUwfQ,Associate Degree in Law,Information Systems,TRUE,Voluptatum ad dolorem. Ut provident excepturi. Optio quasi incidunt.,ETH,Quasi repudiandae ut. Fuga est quos. Omnis nulla et.,Quos qui repellat. Dolores enim veritatis. Explicabo omnis maiores.,Application Deadline: 2019-03-29 | 38 Days Until Classes Begin!,Projected Per Credit Hour Cost: $194,No schooling completed,114,"$15,936 ",Godron State College
https://images.unsplash.com/photo-1551845272-bb4267c0c32b?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjYzNzUwfQ,Bachelor of Business,Commerce,TRUE,Beatae vel omnis. Fugiat id explicabo. Perspiciatis alias maiores.,LTC,Totam quia voluptatem. Qui qui sed. Molestias recusandae aut.,Aut atque odio. Eos in fugiat. Iste rem vel.,Application Deadline: 2019-04-01 | 14 Days Until Classes Begin!,Projected Per Credit Hour Cost: $396,Bachelor's degree,6,"$2,976 ",University of North Georgia
https://images.unsplash.com/photo-1495995424756-6a5a3f9e7543?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjYzNzUwfQ,Associate Degree in Creative Arts,Commerce,TRUE,Laboriosam voluptatem libero. Repellat repudiandae eaque. Cumque deleniti itaque.,BTC,Non esse fugit. Dignissimos ut voluptatem. Et fugiat et.,Ducimus esse ut. Sit enim qui. Distinctio amet placeat.,Application Deadline: 2019-03-30 | 8 Days Until Classes Begin!,Projected Per Credit Hour Cost: $138,Doctorate degree,125,"$13,862 ",Abraham Baldwin Agricultural College
https://images.unsplash.com/photo-1532264523420-881a47db012d?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjYzNzUwfQ,Master of Commerce,Business,FALSE,Nam temporibus libero. Magnam voluptas eveniet. Quia ab nobis.,LTC,Est distinctio rem. Nihil esse laboriosam. Esse consectetur maiores.,Minima non est. Dicta eum recusandae. Minus sed id.,Application Deadline: 2019-04-04 | 3 Days Until Classes Begin!,Projected Per Credit Hour Cost: $344,No schooling completed,129,"$17,740 ",University of Georgia
https://images.unsplash.com/photo-1525017467541-995c08c663cc?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjYzNzUwfQ,Associate Degree in Teaching,Biomedical Science,FALSE,Hic dicta aliquam. Accusantium mollitia velit. Et sapiente dolorum.,ETH,Qui recusandae perspiciatis. Et unde dolorem. Velit vero neque.,Eum qui aspernatur. Laudantium voluptatibus quis. Et officiis quo.,Application Deadline: 2019-04-15 | 39 Days Until Classes Begin!,Projected Per Credit Hour Cost: $178,GED or alternative credential,74,"$11,275 ",College of Coastal Georgia
https://images.unsplash.com/photo-1496469888073-80de7e952517?ixlib=rb-1.2.1&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max&ixid=eyJhcHBfaWQiOjYzNzUwfQ,Associate Degree in Health Science,Education,TRUE,Ut culpa cupiditate. Est atque quia. Ratione quasi dolor.,XRP,Sit vitae reprehenderit. Assumenda et necessitatibus. Est quaerat et.,Et quasi excepturi. Dolores deleniti officia. Aut veritatis esse.,Application Deadline: 2019-04-09 | 6 Days Until Classes Begin!,Projected Per Credit Hour Cost: $368,Bachelor's degree,89,"$14,143 ",University of North Georgia
